customerKey,customerSortKey,ip_address,activity_timestamp,activity_date,app_name,domain_name,url,top_level_domain,user_agent
1,BROWSEHIST#22.33.191.164-1624403419000,22.33.191.164,1.6244E+12,12/5/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Slackware/Chrome/12.0.742.100 Safari/534.30"
2,BROWSEHIST#200.19.158.143-1601373773000,200.19.158.143,1.60137E+12,3/25/2021,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
3,BROWSEHIST#159.209.35.146-1618419518000,159.209.35.146,1.61842E+12,10/19/2020,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.14 Safari/534.24"
4,BROWSEHIST#69.199.101.89-1595447099000,69.199.101.89,1.59545E+12,3/4/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.790.0 Safari/535.1"
5,BROWSEHIST#94.151.83.169-1594440010000,94.151.83.169,1.59444E+12,2/27/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.04 Chromium/17.0.963.56 Chrome/17.0.963.56 Safari/535.11"
6,BROWSEHIST#7.72.227.53-1608644473000,7.72.227.53,1.60864E+12,6/25/2021,profile,rental.com,https://rental.com/profile.aspx,com,Mozilla/6.0 (Macintosh; I; Intel Mac OS X 11_7_9; de-LI; rv:1.9b4) Gecko/2012010317 Firefox/10.0a4
7,BROWSEHIST#223.239.9.134-1624965735000,223.239.9.134,1.62497E+12,1/23/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11"
8,BROWSEHIST#188.255.231.131-1625311486000,188.255.231.131,1.62531E+12,7/25/2020,payment,rental.com,https://rental.com/payment.aspx,com,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20120403211507 Firefox/14.0.1
9,BROWSEHIST#119.148.191.216-1614904583000,119.148.191.216,1.6149E+12,10/7/2020,maint,rental.com,https://rental.com/maint.aspx,com,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0
10,BROWSEHIST#17.93.48.142-1605108149000,17.93.48.142,1.60511E+12,6/13/2021,profile,rental.com,https://rental.com/profile.aspx,com,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10; rv:33.0) Gecko/20100101 Firefox/33.0
11,BROWSEHIST#228.245.254.191-1611547193000,228.245.254.191,1.61155E+12,12/17/2020,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
12,BROWSEHIST#225.60.206.38-1597204614000,225.60.206.38,1.5972E+12,2/14/2021,search,rental.com,https://rental.com/search.aspx,com,Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20120405 Firefox/14.0a1
13,BROWSEHIST#104.104.39.204-1614737206000,104.104.39.204,1.61474E+12,1/27/2021,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (X11; FreeBSD amd64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11"
14,BROWSEHIST#241.184.167.19-1596163220000,241.184.167.19,1.59616E+12,6/12/2021,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.112 Safari/534.30"
15,BROWSEHIST#44.135.221.211-1601042979000,44.135.221.211,1.60104E+12,4/9/2021,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11"
16,BROWSEHIST#252.129.165.173-1611688550000,252.129.165.173,1.61169E+12,10/19/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 6.1; es-ES) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0 Safari/533.16"
17,BROWSEHIST#54.8.217.103-1609636608000,54.8.217.103,1.60964E+12,3/7/2021,payment,rental.com,https://rental.com/payment.aspx,com,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20120403211507 Firefox/14.0.1
18,BROWSEHIST#157.94.0.111-1614476673000,157.94.0.111,1.61448E+12,10/17/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 6.0; nb-NO) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
19,BROWSEHIST#102.20.208.245-1611670693000,102.20.208.245,1.61167E+12,4/30/2021,search,rental.com,https://rental.com/search.aspx,com,Mozilla/5.0 (Windows NT 6.1; de;rv:12.0) Gecko/20120403211507 Firefox/12.0
20,BROWSEHIST#46.50.66.203-1605967932000,46.50.66.203,1.60597E+12,10/6/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
21,BROWSEHIST#114.217.183.83-1602250665000,114.217.183.83,1.60225E+12,3/7/2021,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; ko-kr) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16"
22,BROWSEHIST#154.25.74.174-1607312849000,154.25.74.174,1.60731E+12,3/28/2021,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; zh-cn) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
23,BROWSEHIST#159.41.140.251-1608823548000,159.41.140.251,1.60882E+12,5/31/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11"
24,BROWSEHIST#18.156.248.45-1623034736000,18.156.248.45,1.62303E+12,6/13/2021,payment,rental.com,https://rental.com/payment.aspx,com,Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20120716 Firefox/15.0a2
25,BROWSEHIST#238.86.188.131-1598969875000,238.86.188.131,1.59897E+12,10/25/2020,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 5.1; zh-TW) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
26,BROWSEHIST#40.73.158.58-1610560750000,40.73.158.58,1.61056E+12,3/15/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
27,BROWSEHIST#167.132.69.139-1610835500000,167.132.69.139,1.61084E+12,2/10/2021,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.18 (KHTML, like Gecko) Chrome/11.0.661.0 Safari/534.18"
28,BROWSEHIST#17.76.120.90-1608296324000,17.76.120.90,1.6083E+12,6/4/2021,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; de-de) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16"
29,BROWSEHIST#63.134.212.124-1624846099000,63.134.212.124,1.62485E+12,7/26/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.824.0 Safari/535.1"
30,BROWSEHIST#244.169.97.206-1625916957000,244.169.97.206,1.62592E+12,9/2/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1"
31,BROWSEHIST#21.199.135.177-1607167196000,21.199.135.177,1.60717E+12,12/23/2020,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; da-dk) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1"
32,BROWSEHIST#154.157.198.112-1612411180000,154.157.198.112,1.61241E+12,10/12/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/537.11"
33,BROWSEHIST#36.70.227.174-1606404059000,36.70.227.174,1.6064E+12,3/5/2021,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
34,BROWSEHIST#66.160.49.162-1620593405000,66.160.49.162,1.62059E+12,11/24/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36"
35,BROWSEHIST#195.88.200.11-1621002650000,195.88.200.11,1.621E+12,2/1/2021,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1041.0 Safari/535.21"
36,BROWSEHIST#26.110.179.28-1614371712000,26.110.179.28,1.61437E+12,7/7/2021,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; sv-se) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
37,BROWSEHIST#133.107.157.130-1617670975000,133.107.157.130,1.61767E+12,2/21/2021,profile,rental.com,https://rental.com/profile.aspx,com,Mozilla/5.0 (X11; FreeBSD amd64) AppleWebKit/536.5 (KHTML like Gecko) Chrome/19.0.1084.56 Safari/1EA69
38,BROWSEHIST#210.122.147.212-1617094262000,210.122.147.212,1.61709E+12,4/23/2021,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.60 Safari/537.17"
39,BROWSEHIST#206.213.3.252-1604334140000,206.213.3.252,1.60433E+12,4/28/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/10.10 Chromium/14.0.808.0 Chrome/14.0.808.0 Safari/535.1"
40,BROWSEHIST#74.47.134.39-1606352151000,74.47.134.39,1.60635E+12,9/23/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/12.0.702.0 Safari/534.24"
41,BROWSEHIST#123.217.187.31-1594099112000,123.217.187.31,1.5941E+12,8/27/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36"
42,BROWSEHIST#199.231.145.120-1597882243000,199.231.145.120,1.59788E+12,7/3/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 6.1; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
43,BROWSEHIST#98.101.178.70-1626012049000,98.101.178.70,1.62601E+12,11/30/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
44,BROWSEHIST#27.119.141.185-1602967051000,27.119.141.185,1.60297E+12,10/10/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7"
45,BROWSEHIST#181.205.139.181-1599430148000,181.205.139.181,1.59943E+12,2/15/2021,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
46,BROWSEHIST#207.62.255.249-1611214063000,207.62.255.249,1.61121E+12,9/23/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24"
47,BROWSEHIST#254.83.228.219-1611402429000,254.83.228.219,1.6114E+12,7/17/2020,search,rental.com,https://rental.com/search.aspx,com,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20130514 Firefox/21.0
48,BROWSEHIST#41.84.183.45-1603073764000,41.84.183.45,1.60307E+12,7/4/2020,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/10.04 Chromium/14.0.808.0 Chrome/14.0.808.0 Safari/535.1"
